Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
Danball Senki Wars,https://cdn.myanimelist.net/images/anime/6/47735.jpg,TV,Game,37,Diffusion terminé,"{'from': '2013-04-03', 'to': '2013-12-25'}",G - Tout Ages,7.34,OLM,"Action, Kids, Mecha"
Amagi Brilliant Park,https://cdn.myanimelist.net/images/anime/5/85435.jpg,TV,Light novel,13,Diffusion terminé,"{'from': '2014-10-07', 'to': '2014-12-26'}",PG-13 - Adolescents de 13 ans ou plus,7.63,Kyoto Animation,"Comedy, Magic, Fantasy"
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,https://cdn.myanimelist.net/images/anime/1956/90345.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1990-07-07', 'to': '1990-07-07'}",PG-13 - Adolescents de 13 ans ou plus,6.93,Toei Animation,"Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen"
Pokemon: Kimi ni Kimeta!,https://cdn.myanimelist.net/images/anime/6/85787.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2017-07-15', 'to': '2017-07-15'}",PG - Enfants,7.36,OLM,"Action, Adventure, Comedy, Kids"
Hero Bank,https://cdn.myanimelist.net/images/anime/13/59089.jpg,TV,Game,51,Diffusion terminé,"{'from': '2014-04-07', 'to': '2015-03-30'}",PG - Enfants,6.13,TMS Entertainment,"Game, Kids"
Kinnikuman: Kinnikusei Oui Soudatsu-hen,https://cdn.myanimelist.net/images/anime/4/5188.jpg,TV,Manga,46,Diffusion terminé,"{'from': '1991-10-06', 'to': '1992-09-27'}",PG-13 - Adolescents de 13 ans ou plus,6.99,Toei Animation,"Action, Comedy, Sports, Shounen"
Yami no Matsuei,https://cdn.myanimelist.net/images/anime/11/6726.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2000-10-02', 'to': '2000-12-18'}",R - 17+ (Violence et blasphèmes),7.19,J.C.Staff,"Comedy, Drama, Fantasy, Horror, Magic, Shoujo, Shounen Ai, Vampire"
Maze☆Bakunetsu Jikuu,https://cdn.myanimelist.net/images/anime/4/6944.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '1996-07-24', 'to': '1996-09-21'}",R+ - Nudité douce,6.19,J.C.Staff,"Adventure, Comedy, Fantasy, Mecha, Shounen"
DT Eightron,https://cdn.myanimelist.net/images/anime/5/5797.jpg,TV,Manga,26,Diffusion terminé,"{'from': '1998-04-18', 'to': '1998-11-06'}",PG-13 - Adolescents de 13 ans ou plus,6.39,Sunrise,"Action, Sci-Fi, Shounen"
Hayate no Gotoku!!,https://cdn.myanimelist.net/images/anime/11/75212.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2009-04-04', 'to': '2009-09-19'}",PG-13 - Adolescents de 13 ans ou plus,7.85,J.C.Staff,"Action, Harem, Comedy, Parody, Romance, Shounen"
Yowamushi Pedal,https://cdn.myanimelist.net/images/anime/5/53211.jpg,TV,Manga,38,Diffusion terminé,"{'from': '2013-10-08', 'to': '2014-07-01'}",PG-13 - Adolescents de 13 ans ou plus,8.13,TMS Entertainment,"Comedy, Sports, Drama, Shounen"
Itsuka no Main: Kaminari Shounen - Tenta Sanjou!,https://cdn.myanimelist.net/images/anime/11/60673.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1996-02-21', 'to': '1996-02-21'}",R - 17+ (Violence et blasphèmes),6.41,J.C.Staff,"Action, Drama, Seinen"
Bishoujo Senshi Sailor Moon Crystal Season III,https://cdn.myanimelist.net/images/anime/3/78859.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2016-04-04', 'to': '2016-06-27'}",PG-13 - Adolescents de 13 ans ou plus,7.83,Toei Animation,"Demons, Magic, Romance, Shoujo"
Yajikita Gakuen Douchuuki,https://cdn.myanimelist.net/images/anime/6/35935.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '1989-09-15', 'to': '1991-07-25'}",PG-13 - Adolescents de 13 ans ou plus,5.74,J.C.Staff,"Adventure, Martial Arts, School, Shoujo"
Gegege no Kitarou (1996),https://cdn.myanimelist.net/images/anime/6/27401.jpg,TV,Manga,114,Diffusion terminé,"{'from': '1996-01-07', 'to': '1998-03-29'}",G - Tout Ages,6.77,Toei Animation,"Adventure, Demons, Supernatural"
Tiger Mask,https://cdn.myanimelist.net/images/anime/8/71351.jpg,TV,Manga,105,Diffusion terminé,"{'from': '1969-10-02', 'to': '1971-09-30'}",PG-13 - Adolescents de 13 ans ou plus,7.34,Toei Animation,"Action, Drama, Shounen, Sports"
Eiken: Eikenbu yori Ai wo Komete,https://cdn.myanimelist.net/images/anime/8/42861.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '2003-06-25', 'to': '2004-06-23'}",R+ - Nudité douce,4.56,J.C.Staff,"Ecchi, Comedy, Harem, School"
Toaru Kagaku no Railgun S,https://cdn.myanimelist.net/images/anime/7/75610.jpg,TV,Manga,24,Diffusion terminé,"{'from': '2013-04-12', 'to': '2013-09-27'}",R - 17+ (Violence et blasphèmes),8.13,J.C.Staff,"Action, Sci-Fi, Super Power"
Slam Dunk (Movie),https://cdn.myanimelist.net/images/anime/5/31927.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1994-03-12', 'to': '1994-03-12'}",PG-13 - Adolescents de 13 ans ou plus,7.45,Toei Animation,"Comedy, Drama, School, Shounen, Slice of Life, Sports"
Pokemon Advanced Generation: Nanayo no Negaiboshi Jirachi,https://cdn.myanimelist.net/images/anime/13/75733.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2003-07-19', 'to': '2003-07-19'}",PG - Enfants,6.90,OLM,"Adventure, Comedy, Drama, Fantasy, Kids"
Yowamushi Pedal: Glory Line,https://cdn.myanimelist.net/images/anime/3/88489.jpg,TV,Manga,25,Diffusion en cours,"{'from': '2018-01-09', 'to': None}",PG-13 - Adolescents de 13 ans ou plus,7.86,TMS Entertainment,"Comedy, Drama, Shounen, Sports"
Slayers Revolution,https://cdn.myanimelist.net/images/anime/7/20940.jpg,TV,Light novel,13,Diffusion terminé,"{'from': '2008-07-03', 'to': '2008-09-25'}",PG-13 - Adolescents de 13 ans ou plus,7.35,J.C.Staff,"Adventure, Comedy, Fantasy"
Pink Lady Monogatari: Eikou no Tenshi-tachi,https://cdn.myanimelist.net/images/anime/6/46585.jpg,TV,Other,33,Diffusion terminé,"{'from': '1978-10-24', 'to': '1979-06-12'}",G - Tout Ages,6.67,Toei Animation,"Music, Slice of Life, Drama"
Saint Seiya: Meiou Hades Meikai-hen,https://cdn.myanimelist.net/images/anime/12/75732.jpg,OVA,Manga,12,Diffusion terminé,"{'from': '2005-12-17', 'to': '2007-02-06'}",PG-13 - Adolescents de 13 ans ou plus,7.91,Toei Animation,"Action, Adventure, Demons, Fantasy, Sci-Fi, Shounen, Super Power"
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,https://cdn.myanimelist.net/images/anime/2/10199.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1992-07-11', 'to': '1992-07-11'}",PG-13 - Adolescents de 13 ans ou plus,7.18,Toei Animation,"Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen"
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",https://cdn.myanimelist.net/images/anime/4/83437.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '2016-12-20', 'to': '2016-12-20'}",PG-13 - Adolescents de 13 ans ou plus,8.20,TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
Binbougami ga!,https://cdn.myanimelist.net/images/anime/8/39333.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2012-07-05', 'to': '2012-09-27'}",PG-13 - Adolescents de 13 ans ou plus,7.83,Sunrise,"Comedy, Parody, Shounen, Supernatural"
Hello! Lady Lynn,https://cdn.myanimelist.net/images/anime/4/16819.jpg,TV,Manga,36,Diffusion terminé,"{'from': '1988-05-12', 'to': '1989-01-26'}",G - Tout Ages,7.78,Toei Animation,Drama
Kamikaze Kaitou Jeanne,https://cdn.myanimelist.net/images/anime/5/20389.jpg,TV,Manga,44,Diffusion terminé,"{'from': '1999-02-13', 'to': '2000-01-29'}",PG-13 - Adolescents de 13 ans ou plus,7.52,Toei Animation,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
