Titre,image_url,type,source,episodes,status,aired,rating,score,studio,genre
Bakuman. 3rd Season,https://cdn.myanimelist.net/images/anime/6/41845.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2012-10-06', 'to': '2013-03-30'}",PG-13 - Adolescents de 13 ans ou plus,8.67,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Shakugan no Shana II (Second),https://cdn.myanimelist.net/images/anime/10/18669.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2007-10-05', 'to': '2008-03-28'}",PG-13 - Adolescents de 13 ans ou plus,7.72,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural"
Nodame Cantabile: Paris-hen,https://cdn.myanimelist.net/images/anime/4/11918.jpg,TV,Manga,11,Diffusion terminé,"{'from': '2008-10-10', 'to': '2008-12-19'}",PG-13 - Adolescents de 13 ans ou plus,8.24,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei"
Kaichou wa Maid-sama!,https://cdn.myanimelist.net/images/anime/6/25254.jpg,TV,Manga,26,Diffusion terminé,"{'from': '2010-04-02', 'to': '2010-09-24'}",PG-13 - Adolescents de 13 ans ou plus,8.20,J.C.Staff,"Comedy, Romance, School, Shoujo"
Toradora!,https://cdn.myanimelist.net/images/anime/13/22128.jpg,TV,Light novel,25,Diffusion terminé,"{'from': '2008-10-02', 'to': '2009-03-26'}",PG-13 - Adolescents de 13 ans ou plus,8.39,J.C.Staff,"Slice of Life, Comedy, Romance, School"
Bakuman. 2nd Season,https://cdn.myanimelist.net/images/anime/3/34923.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2011-10-01', 'to': '2012-03-24'}",PG-13 - Adolescents de 13 ans ou plus,8.49,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Itazura na Kiss,https://cdn.myanimelist.net/images/anime/10/19933.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2008-04-05', 'to': '2008-09-25'}",PG-13 - Adolescents de 13 ans ou plus,7.70,TMS Entertainment,"Comedy, Romance, Shoujo"
One Piece,https://cdn.myanimelist.net/images/anime/6/73245.jpg,TV,Manga,0,Diffusion en cours,"{'from': '1999-10-20', 'to': None}",PG-13 - Adolescents de 13 ans ou plus,8.54,Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
Air Gear,https://cdn.myanimelist.net/images/anime/11/18227.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2006-04-05', 'to': '2006-09-27'}",R+ - Nudité douce,7.64,Toei Animation,"Action, Comedy, Ecchi, Shounen, Sports"
InuYasha,https://cdn.myanimelist.net/images/anime/8/20483.jpg,TV,Manga,167,Diffusion terminé,"{'from': '2000-10-16', 'to': '2004-09-13'}",PG-13 - Adolescents de 13 ans ou plus,7.90,Sunrise,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
Nodame Cantabile Finale,https://cdn.myanimelist.net/images/anime/4/20712.jpg,TV,Manga,11,Diffusion terminé,"{'from': '2010-01-15', 'to': '2010-03-26'}",PG-13 - Adolescents de 13 ans ou plus,8.34,J.C.Staff,"Comedy, Josei, Music, Romance"
Accel World,https://cdn.myanimelist.net/images/anime/8/38155.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2012-04-07', 'to': '2012-09-22'}",PG-13 - Adolescents de 13 ans ou plus,7.53,Sunrise,"Action, Game, Sci-Fi, Romance, School"
Bakuman.,https://cdn.myanimelist.net/images/anime/6/26138.jpg,TV,Manga,25,Diffusion terminé,"{'from': '2010-10-02', 'to': '2011-04-02'}",PG-13 - Adolescents de 13 ans ou plus,8.32,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Nodame Cantabile,https://cdn.myanimelist.net/images/anime/9/11986.jpg,TV,Manga,23,Diffusion terminé,"{'from': '2007-01-12', 'to': '2007-06-15'}",PG-13 - Adolescents de 13 ans ou plus,8.41,J.C.Staff,"Music, Slice of Life, Comedy, Drama, Romance, Josei"
Kamisama Hajimemashita,https://cdn.myanimelist.net/images/anime/3/85429.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2012-10-02', 'to': '2012-12-25'}",PG-13 - Adolescents de 13 ans ou plus,8.14,TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
Live On Cardliver Kakeru,https://cdn.myanimelist.net/images/anime/9/21028.jpg,TV,Manga,51,Diffusion terminé,"{'from': '2008-10-05', 'to': '2009-09-27'}",PG - Enfants,6.86,TMS Entertainment,"Game, Fantasy"
Gokujo.: Gokurakuin Joshikou Ryou Monogatari,https://cdn.myanimelist.net/images/anime/11/35659.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2012-01-24', 'to': '2012-03-27'}",R+ - Nudité douce,6.28,LMD,"Comedy, Ecchi, School, Seinen, Shoujo Ai"
Alice to Zouroku,https://cdn.myanimelist.net/images/anime/2/84598.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2017-04-02', 'to': '2017-06-25'}",PG-13 - Adolescents de 13 ans ou plus,7.20,J.C.Staff,"Adventure, Mystery, Seinen"
Dragon Ball Super,https://cdn.myanimelist.net/images/anime/7/74606.jpg,TV,Manga,131,Diffusion terminé,"{'from': '2015-07-05', 'to': '2018-03-25'}",PG-13 - Adolescents de 13 ans ou plus,7.78,Toei Animation,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
R.O.D the TV,https://cdn.myanimelist.net/images/anime/3/73350.jpg,TV,Light novel,26,Diffusion terminé,"{'from': '2003-09-01', 'to': '2004-03-16'}",PG-13 - Adolescents de 13 ans ou plus,7.61,J.C.Staff,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
Apache Yakyuugun,https://cdn.myanimelist.net/images/anime/5/78281.jpg,TV,Manga,26,Diffusion terminé,"{'from': '1971-10-06', 'to': '1972-03-29'}",G - Tout Ages,6.70,Toei Animation,"Action, Sports, School"
Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,https://cdn.myanimelist.net/images/anime/3/45070.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '2012-12-17', 'to': '2013-03-15'}",R - 17+ (Violence et blasphèmes),7.13,Toei Animation,"Mystery, Shounen"
Ginga Tetsudou 999: Glass no Clair,https://cdn.myanimelist.net/images/anime/6/15279.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1980-03-15', 'to': '1980-03-15'}",G - Tout Ages,6.68,Toei Animation,"Drama, Sci-Fi, Space"
Dragon Ball Z Movie 14: Kami to Kami,https://cdn.myanimelist.net/images/anime/9/44490.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2013-03-30', 'to': '2013-03-30'}",PG-13 - Adolescents de 13 ans ou plus,7.57,Toei Animation,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power"
Dragon Quest: Dai no Daibouken (1991),https://cdn.myanimelist.net/images/anime/4/17774.jpg,Movie,Game,1,Diffusion terminé,"{'from': '1991-07-20', 'to': '1991-07-20'}",G - Tout Ages,6.81,Toei Animation,"Adventure, Demons, Magic, Fantasy, Shounen"
Monster Farm: Enbanseki no Himitsu,https://cdn.myanimelist.net/images/anime/9/10870.jpg,TV,Game,48,Diffusion terminé,"{'from': '1999-04-17', 'to': '2000-03-25'}",PG-13 - Adolescents de 13 ans ou plus,6.89,TMS Entertainment,"Action, Adventure, Comedy, Fantasy"
Abarenbou Rikishi!! Matsutarou,https://cdn.myanimelist.net/images/anime/7/65897.jpg,TV,Manga,23,Diffusion terminé,"{'from': '2014-04-06', 'to': '2014-09-28'}",PG-13 - Adolescents de 13 ans ou plus,6.16,Toei Animation,"Sports, Seinen"
Shounan Bakusouzoku,https://cdn.myanimelist.net/images/anime/6/69945.jpg,OVA,Manga,12,Diffusion terminé,"{'from': '1986-09-10', 'to': '1999-03-12'}",R - 17+ (Violence et blasphèmes),6.64,Toei Animation,"Action, Comedy, Shounen"
One Piece 3D: Mugiwara Chase,https://cdn.myanimelist.net/images/anime/4/32455.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2011-03-19', 'to': '2011-03-19'}",PG-13 - Adolescents de 13 ans ou plus,7.26,Toei Animation,"Action, Adventure, Comedy, Fantasy, Shounen"
Pokemon Advanced Generation: Rekkuu no Houmonsha Deoxys,https://cdn.myanimelist.net/images/anime/9/21313.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2004-07-17', 'to': '2004-07-17'}",PG - Enfants,7.18,OLM,"Action, Adventure, Comedy, Fantasy, Kids, Sci-Fi"
Maze☆Bakunetsu Jikuu (TV),https://cdn.myanimelist.net/images/anime/4/20383.jpg,TV,Manga,25,Diffusion terminé,"{'from': '1997-04-03', 'to': '1997-09-25'}",PG-13 - Adolescents de 13 ans ou plus,6.75,J.C.Staff,"Adventure, Comedy, Fantasy, Mecha, Shounen"
Crusher Joe,https://cdn.myanimelist.net/images/anime/7/24514.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1983-03-12', 'to': '1983-03-12'}",R+ - Nudité douce,6.93,Sunrise,"Action, Sci-Fi, Adventure, Space"
Pokemon Diamond & Pearl,https://cdn.myanimelist.net/images/anime/13/25749.jpg,TV,Game,191,Diffusion terminé,"{'from': '2006-09-28', 'to': '2010-09-09'}",PG - Enfants,7.24,OLM,"Action, Adventure, Comedy, Fantasy, Kids"
Boku wa Konomama Kaeranai,https://cdn.myanimelist.net/images/anime/1/1216.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1994-06-21', 'to': '1994-06-21'}",PG-13 - Adolescents de 13 ans ou plus,5.59,J.C.Staff,"Drama, Romance, Shounen Ai"
Maburaho,https://cdn.myanimelist.net/images/anime/9/79204.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2003-10-14', 'to': '2004-04-06'}",R+ - Nudité douce,6.94,J.C.Staff,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School"
Angel Heart,https://cdn.myanimelist.net/images/anime/1/282.jpg,TV,Manga,50,Diffusion terminé,"{'from': '2005-10-04', 'to': '2006-09-26'}",PG-13 - Adolescents de 13 ans ou plus,7.35,TMS Entertainment,"Action, Mystery, Drama, Romance, Seinen"
PriPri Chii-chan!!,https://cdn.myanimelist.net/images/anime/10/83963.jpg,TV,Manga,36,Diffusion terminé,"{'from': '2017-04-15', 'to': '2017-12-16'}",G - Tout Ages,6.25,OLM,"Sci-Fi, Comedy, Shoujo"
Slayers Evolution-R,https://cdn.myanimelist.net/images/anime/5/20938.jpg,TV,Light novel,13,Diffusion terminé,"{'from': '2009-01-12', 'to': '2009-04-06'}",PG-13 - Adolescents de 13 ans ou plus,7.50,J.C.Staff,"Adventure, Comedy, Fantasy"
Gegege no Kitarou (2018),https://cdn.myanimelist.net/images/anime/1552/90621.jpg,TV,Manga,0,Diffusion en cours,"{'from': '2018-04-01', 'to': None}",G - Tout Ages,6.89,Toei Animation,"Comedy, Demons, Supernatural, Shounen"
Dragon Ball Z,https://cdn.myanimelist.net/images/anime/6/20936.jpg,TV,Manga,291,Diffusion terminé,"{'from': '1989-04-26', 'to': '1996-01-31'}",PG-13 - Adolescents de 13 ans ou plus,8.31,Toei Animation,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
Mazinger Z,https://cdn.myanimelist.net/images/anime/3/21724.jpg,TV,Manga,92,Diffusion terminé,"{'from': '1972-12-03', 'to': '1974-09-01'}",PG-13 - Adolescents de 13 ans ou plus,7.42,Toei Animation,"Action, Drama, Mecha, Sci-Fi, Shounen"
Suzumiya Haruhi no Shoushitsu,https://cdn.myanimelist.net/images/anime/2/73842.jpg,Movie,Light novel,1,Diffusion terminé,"{'from': '2010-02-06', 'to': '2010-02-06'}",PG-13 - Adolescents de 13 ans ou plus,8.73,Kyoto Animation,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural"
Magikano,https://cdn.myanimelist.net/images/anime/2/75539.jpg,TV,Manga,13,Diffusion terminé,"{'from': '2005-01-01', 'to': '2006-04-01'}",PG-13 - Adolescents de 13 ans ou plus,6.48,Tokyo Kids,"Comedy, Fantasy, Harem, Magic, Romance, Shounen"
Gintama: Yorinuki Gintama-san on Theater 2D,https://cdn.myanimelist.net/images/anime/11/57615.jpg,Movie,Manga,2,Diffusion terminé,"{'from': '2012-08-26', 'to': '2012-08-26'}",PG-13 - Adolescents de 13 ans ou plus,8.52,Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
Pokemon,https://cdn.myanimelist.net/images/anime/13/73834.jpg,TV,Game,276,Diffusion terminé,"{'from': '1997-04-01', 'to': '2002-11-14'}",PG - Enfants,7.42,OLM,"Action, Adventure, Comedy, Kids, Fantasy"
Heppoko Jikken Animation Excel♥Saga,https://cdn.myanimelist.net/images/anime/5/19660.jpg,TV,Manga,26,Diffusion terminé,"{'from': '1999-10-08', 'to': '2000-03-31'}",R - 17+ (Violence et blasphèmes),7.55,J.C.Staff,"Comedy, Parody, Sci-Fi, Shounen"
Mahoraba: Heartful days,https://cdn.myanimelist.net/images/anime/3/50903.jpg,TV,Manga,26,Diffusion terminé,"{'from': '2005-01-10', 'to': '2005-06-27'}",PG-13 - Adolescents de 13 ans ou plus,7.41,J.C.Staff,"Comedy, Drama, Romance, Shounen"
Gegege no Kitarou (2007),https://cdn.myanimelist.net/images/anime/6/27397.jpg,TV,Manga,100,Diffusion terminé,"{'from': '2007-04-01', 'to': '2009-03-29'}",G - Tout Ages,7.16,Toei Animation,"Comedy, Horror, Fantasy"
"Kyou, Koi wo Hajimemasu",https://cdn.myanimelist.net/images/anime/4/37023.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '2010-06-25', 'to': '2010-10-23'}",PG-13 - Adolescents de 13 ans ou plus,6.59,J.C.Staff,"Romance, School, Shoujo"
"High School DxD New: Oppai, Tsutsumimasu!",https://cdn.myanimelist.net/images/anime/8/73605.jpg,OVA,Light novel,1,Diffusion terminé,"{'from': '2015-03-10', 'to': '2015-03-10'}",R+ - Nudité douce,7.45,TNK,"Comedy, Demons, Ecchi, Romance, School"
Kyoukai no Kanata,https://cdn.myanimelist.net/images/anime/3/85468.jpg,TV,Light novel,12,Diffusion terminé,"{'from': '2013-10-03', 'to': '2013-12-19'}",PG-13 - Adolescents de 13 ans ou plus,7.87,Kyoto Animation,"Slice of Life, Supernatural, Fantasy"
Ys,https://cdn.myanimelist.net/images/anime/9/23207.jpg,OVA,Game,7,Diffusion terminé,"{'from': '1989-11-21', 'to': '1991-09-05'}",PG-13 - Adolescents de 13 ans ou plus,6.57,Tokyo Kids,"Adventure, Demons, Drama, Fantasy, Magic"
Lady Lady!!,https://cdn.myanimelist.net/images/anime/13/16818.jpg,TV,Manga,21,Diffusion terminé,"{'from': '1987-10-21', 'to': '1988-03-23'}",G - Tout Ages,7.66,Toei Animation,"Drama, Historical"
Pokemon XY&Z,https://cdn.myanimelist.net/images/anime/12/76204.jpg,TV,Game,47,Diffusion terminé,"{'from': '2015-10-29', 'to': '2016-10-27'}",PG - Enfants,7.80,OLM,"Action, Adventure, Comedy, Kids, Fantasy"
Osomatsu-kun,https://cdn.myanimelist.net/images/anime/2/76965.jpg,TV,Manga,56,Diffusion terminé,"{'from': '1966-02-05', 'to': '1967-03-25'}",PG - Enfants,6.86,Studio Zero,Comedy
Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV),https://cdn.myanimelist.net/images/anime/12/83751.jpg,TV,Other,37,Diffusion terminé,"{'from': '2017-04-15', 'to': '2017-12-23'}",PG - Enfants,5.65,OLM,"Adventure, Mecha, Police, Sci-Fi"
Bishoujo Senshi Sailor Moon R: The Movie,https://cdn.myanimelist.net/images/anime/12/19878.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1993-12-05', 'to': '1993-12-05'}",PG-13 - Adolescents de 13 ans ou plus,7.78,Toei Animation,"Drama, Magic, Romance, Shoujo"
Bounty Hunter: The Hard,https://cdn.myanimelist.net/images/anime/13/8650.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1996-05-01', 'to': '1996-05-01'}",R+ - Nudité douce,5.86,J.C.Staff,"Action, Police"
Accel World: Infinite∞Burst,https://cdn.myanimelist.net/images/anime/5/87145.jpg,Movie,Light novel,1,Diffusion terminé,"{'from': '2016-07-23', 'to': '2016-07-23'}",PG-13 - Adolescents de 13 ans ou plus,6.78,Sunrise,"Action, Game, Sci-Fi, Romance, School"
Alien 9,https://cdn.myanimelist.net/images/anime/7/2607.jpg,OVA,Manga,4,Diffusion terminé,"{'from': '2001-06-25', 'to': '2002-02-25'}",R - 17+ (Violence et blasphèmes),6.68,J.C.Staff,"Sci-Fi, Horror, Psychological, School"
Dragon Ball Super Movie,https://cdn.myanimelist.net/images/anime/1039/92151.jpg,Movie,Manga,1,Pas encore diffusé,"{'from': '2018-12-14', 'to': '2018-12-14'}",PG-13 - Adolescents de 13 ans ou plus,0,Toei Animation,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
Dororon Enma-kun,https://cdn.myanimelist.net/images/anime/9/28204.jpg,TV,Manga,25,Diffusion terminé,"{'from': '1973-10-04', 'to': '1974-03-28'}",PG-13 - Adolescents de 13 ans ou plus,6.30,Toei Animation,"Comedy, Demons, Fantasy, Horror, Shounen, Supernatural"
Kumo ni Noru,https://cdn.myanimelist.net/images/anime/12/61363.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '1991-03-08', 'to': '1991-06-07'}",R+ - Nudité douce,4.41,J.C.Staff,"Action, Seinen"
Osakana wa Ami no Naka,https://cdn.myanimelist.net/images/anime/2/33631.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1994-07-21', 'to': '1994-07-21'}",R+ - Nudité douce,5.18,J.C.Staff,"Drama, Shounen Ai"
One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,https://cdn.myanimelist.net/images/anime/13/21760.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2007-03-03', 'to': '2007-03-03'}",PG-13 - Adolescents de 13 ans ou plus,7.42,Toei Animation,"Action, Adventure, Fantasy, Shounen"
Deltora Quest,https://cdn.myanimelist.net/images/anime/12/88164.jpg,TV,Book,65,Diffusion terminé,"{'from': '2007-01-06', 'to': '2008-03-29'}",PG - Enfants,7.18,OLM,"Adventure, Kids, Fantasy"
Tanin no Kankei,https://cdn.myanimelist.net/images/anime/11/33771.jpg,OVA,Manga,2,Diffusion terminé,"{'from': '1994-08-26', 'to': '1994-10-21'}",R+ - Nudité douce,6.30,J.C.Staff,"Comedy, Ecchi, Romance, School"
UQ Holder!: Mahou Sensei Negima! 2,https://cdn.myanimelist.net/images/anime/6/88354.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2017-10-03', 'to': '2017-12-19'}",PG-13 - Adolescents de 13 ans ou plus,7.14,J.C.Staff,"Action, Sci-Fi, Magic, Fantasy, Shounen"
Inazuma Eleven Go: Galaxy,https://cdn.myanimelist.net/images/anime/2/49743.jpg,TV,Game,43,Diffusion terminé,"{'from': '2013-05-08', 'to': '2014-03-19'}",G - Tout Ages,6.98,OLM,"Shounen, Sports, Super Power"
Pokemon Housoukyoku,https://cdn.myanimelist.net/images/anime/3/21390.jpg,TV,Game,16,Diffusion terminé,"{'from': '2002-12-03', 'to': '2004-09-28'}",PG - Enfants,6.95,OLM,"Adventure, Comedy, Kids, Fantasy"
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,https://cdn.myanimelist.net/images/anime/11/30254.jpg,TV,Game,12,Diffusion terminé,"{'from': '2011-07-05', 'to': '2011-09-20'}",PG-13 - Adolescents de 13 ans ou plus,6.16,J.C.Staff,Magic
Yume de Aetara (TV),https://cdn.myanimelist.net/images/anime/8/25224.jpg,TV,Manga,16,Diffusion terminé,"{'from': '1998-11-30', 'to': '1998-12-24'}",R+ - Nudité douce,6.57,J.C.Staff,"Comedy, Drama, Romance, Seinen, Slice of Life"
Pokemon: Maboroshi no Pokemon Lugia Bakutan,https://cdn.myanimelist.net/images/anime/11/41801.jpg,Movie,Game,1,Diffusion terminé,"{'from': '1999-07-17', 'to': '1999-07-17'}",PG - Enfants,7.45,OLM,"Adventure, Comedy, Kids, Drama, Fantasy"
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,https://cdn.myanimelist.net/images/anime/1088/92335.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1994-03-12', 'to': '1994-03-12'}",PG-13 - Adolescents de 13 ans ou plus,7.14,Toei Animation,"Action, Adventure, Comedy, Demons, Fantasy, Martial Arts, Shounen, Super Power"
Dragon Quest: Dai no Daibouken,https://cdn.myanimelist.net/images/anime/6/29401.jpg,TV,Manga,46,Diffusion terminé,"{'from': '1991-10-17', 'to': '1992-09-24'}",G - Tout Ages,7.75,Toei Animation,"Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy, Shounen"
One Piece: Mezase! Kaizoku Yakyuu Ou,https://cdn.myanimelist.net/images/anime/8/70593.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2004-03-06', 'to': '2004-03-06'}",PG-13 - Adolescents de 13 ans ou plus,7.15,Toei Animation,"Comedy, Fantasy, Shounen, Sports"
Bishoujo Senshi Sailor Moon Memorial,https://cdn.myanimelist.net/images/anime/6/46773.jpg,OVA,Manga,5,Diffusion terminé,"{'from': '1998-08-07', 'to': '1999-05-21'}",PG-13 - Adolescents de 13 ans ou plus,7.44,Toei Animation,"Demons, Magic, Romance, Shoujo"
Shakugan no Shana III (Final),https://cdn.myanimelist.net/images/anime/9/32539.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2011-10-08', 'to': '2012-03-24'}",PG-13 - Adolescents de 13 ans ou plus,7.67,J.C.Staff,"Action, Supernatural, Drama, Romance, Fantasy"
Planetes,https://cdn.myanimelist.net/images/anime/8/50463.jpg,TV,Manga,26,Diffusion terminé,"{'from': '2003-10-04', 'to': '2004-04-17'}",PG-13 - Adolescents de 13 ans ou plus,8.36,Sunrise,"Drama, Romance, Sci-Fi, Seinen, Space"
Slayers Return,https://cdn.myanimelist.net/images/anime/9/34997.jpg,Movie,Light novel,1,Diffusion terminé,"{'from': '1996-08-03', 'to': '1996-08-03'}",PG-13 - Adolescents de 13 ans ou plus,7.40,J.C.Staff,"Adventure, Comedy, Fantasy, Magic, Shounen"
Kinnikuman II Sei,https://cdn.myanimelist.net/images/anime/10/30373.jpg,TV,Manga,51,Diffusion terminé,"{'from': '2002-01-09', 'to': '2002-12-25'}",PG-13 - Adolescents de 13 ans ou plus,6.95,Toei Animation,"Action, Sci-Fi, Comedy, Sports, Martial Arts, Shounen"
Ghost Sweeper GS Mikami,https://cdn.myanimelist.net/images/anime/7/77060.jpg,TV,Manga,45,Diffusion terminé,"{'from': '1993-04-11', 'to': '1994-03-06'}",PG-13 - Adolescents de 13 ans ou plus,7.26,Toei Animation,"Comedy, Supernatural"
Sonic X,https://cdn.myanimelist.net/images/anime/3/13606.jpg,TV,Game,78,Diffusion terminé,"{'from': '2003-04-06', 'to': '2004-03-28'}",PG - Enfants,6.52,TMS Entertainment,"Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen"
Pokemon Best Wishes! Season 2: Episode N,https://cdn.myanimelist.net/images/anime/7/45749.jpg,TV,Game,14,Diffusion terminé,"{'from': '2013-01-17', 'to': '2013-04-18'}",PG - Enfants,6.93,OLM,"Action, Adventure, Comedy, Kids, Fantasy"
Cyborg 009,https://cdn.myanimelist.net/images/anime/3/76035.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1966-07-21', 'to': '1966-07-21'}",G - Tout Ages,6.27,Toei Animation,"Action, Adventure, Drama, Sci-Fi, Shounen"
Papa to Kiss in the Dark,https://cdn.myanimelist.net/images/anime/5/11100.jpg,OVA,Light novel,2,Diffusion terminé,"{'from': '2005-11-23', 'to': '2005-12-21'}",R+ - Nudité douce,6.38,TNK,"Comedy, Drama, Romance, Yaoi"
Ucchare Goshogawara,https://cdn.myanimelist.net/images/anime/6/36209.jpg,OVA,Manga,1,Diffusion terminé,"{'from': '1991-10-25', 'to': '1991-10-25'}",PG-13 - Adolescents de 13 ans ou plus,5.63,J.C.Staff,"Martial Arts, School, Shounen, Sports"
Golden Time,https://cdn.myanimelist.net/images/anime/12/52091.jpg,TV,Light novel,24,Diffusion terminé,"{'from': '2013-10-04', 'to': '2014-03-28'}",PG-13 - Adolescents de 13 ans ou plus,7.89,J.C.Staff,"Comedy, Drama, Romance"
Five Star Stories,https://cdn.myanimelist.net/images/anime/11/76054.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '1989-03-11', 'to': '1989-03-11'}",R - 17+ (Violence et blasphèmes),6.71,Sunrise,"Action, Drama, Fantasy, Mecha, Sci-Fi"
Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi,https://cdn.myanimelist.net/images/anime/11/38311.jpg,Movie,Game,1,Diffusion terminé,"{'from': '2012-07-14', 'to': '2012-07-14'}",PG - Enfants,6.61,OLM,"Action, Adventure, Comedy, Kids, Drama, Fantasy"
Hi☆sCoool! SeHa Girls,https://cdn.myanimelist.net/images/anime/5/66173.jpg,TV,Other,13,Diffusion terminé,"{'from': '2014-10-08', 'to': '2014-12-24'}",PG-13 - Adolescents de 13 ans ou plus,6.57,TMS Entertainment,"Comedy, Game"
Gokujou Seitokai,https://cdn.myanimelist.net/images/anime/7/18714.jpg,TV,Manga,26,Diffusion terminé,"{'from': '2005-04-07', 'to': '2005-09-29'}",PG-13 - Adolescents de 13 ans ou plus,7.13,J.C.Staff,"Comedy, School, Slice of Life"
Haou Taikei Ryuu Knight,https://cdn.myanimelist.net/images/anime/1626/92213.jpg,TV,Manga,52,Diffusion terminé,"{'from': '1994-04-05', 'to': '1995-03-28'}",PG-13 - Adolescents de 13 ans ou plus,6.65,Sunrise,"Action, Adventure, Fantasy, Mecha"
Pokemon Sun & Moon,https://cdn.myanimelist.net/images/anime/11/84673.jpg,TV,Game,0,Diffusion en cours,"{'from': '2016-11-17', 'to': None}",PG - Enfants,6.94,OLM,"Action, Fantasy, Game, Kids, School"
Toaru Kagaku no Railgun,https://cdn.myanimelist.net/images/anime/8/53581.jpg,TV,Manga,24,Diffusion terminé,"{'from': '2009-10-03', 'to': '2010-03-20'}",PG-13 - Adolescents de 13 ans ou plus,7.83,J.C.Staff,"Action, Sci-Fi, Super Power"
Marmalade Boy,https://cdn.myanimelist.net/images/anime/8/6092.jpg,TV,Manga,76,Diffusion terminé,"{'from': '1994-03-13', 'to': '1995-09-03'}",PG-13 - Adolescents de 13 ans ou plus,7.62,Toei Animation,"Comedy, Drama, Romance, Shoujo"
One Piece Movie 7: Karakuri-jou no Mecha Kyohei,https://cdn.myanimelist.net/images/anime/9/20927.jpg,Movie,Manga,1,Diffusion terminé,"{'from': '2006-03-04', 'to': '2006-03-04'}",PG-13 - Adolescents de 13 ans ou plus,7.41,Toei Animation,"Adventure, Comedy, Fantasy, Shounen"
Ring ni Kakero 1: Kage Dou-hen,https://cdn.myanimelist.net/images/anime/9/18864.jpg,TV,Manga,6,Diffusion terminé,"{'from': '2010-04-02', 'to': '2010-06-17'}",PG-13 - Adolescents de 13 ans ou plus,6.81,Toei Animation,"Action, Shounen, Sports"
Witch Craft Works,https://cdn.myanimelist.net/images/anime/12/55693.jpg,TV,Manga,12,Diffusion terminé,"{'from': '2014-01-05', 'to': '2014-03-23'}",PG-13 - Adolescents de 13 ans ou plus,7.20,J.C.Staff,"Action, Fantasy, Magic, Seinen, Supernatural"
Inazuma Eleven,https://cdn.myanimelist.net/images/anime/3/17917.jpg,TV,Game,127,Diffusion terminé,"{'from': '2008-10-05', 'to': '2011-04-27'}",G - Tout Ages,7.68,OLM,"Sports, Super Power, Shounen"
